Level 0 preferred term,Level 1 preferred term,Level 2 preferred term,Level 3 preferred term,Description,Scope note,Level 0 code,Level 1 code,Level 2 code,Level 3 code
skills,handling and moving,cleaning,cleaning outdoor spaces,Cleaning outdoor public spaces such as streets or parks.,"Examples:
- Clean camping facilities
- Perform street cleaning manually",S,S6,S6.11,S6.11.3
skills,handling and moving,cleaning,"cleaning tools, equipment, workpieces and vehicles","Performing cleaning routines after tools, equipment, machinery and vehicles have been used and cleaning workpieces during or after fabrication.","Examples:
- Clean ventilation system 
- Clean concrete pumps
- Sterilise fermentation tanks
- Clean chimneys
- Wash vehicles",S,S6,S6.11,S6.11.1
skills,handling and moving,cleaning,cleaning interior and exterior of buildings,Cleaning interior spaces and furnishings and the exterior of buildings and similar structures.,"Excludes:
- Specialised cleaning of equipment in buildings, such as sweeping chimneys

Examples:
- Clean rooms 
- Clean train interiors
- Maintain work area cleanliness",S,S6,S6.11,S6.11.2
skills,handling and moving,assembling and fabricating products,,"Fabricating, assembling or repairing products or work aids by hand, or using hand-held tools and equipment.","Excludes:
- Operation of automated assembly equipment or machines
 -repair of building structures and mechanical, electrical, electronic products and components.

Examples:
- Assemble metal parts 
- Apply assembly techniques",S,S6,S6.5,
skills,handling and moving,assembling and fabricating products,fabricating precision instruments or jewellery,"Assembling, fabricating or repairing precision instruments, such as optical devices, clocks and musical instruments, by hand or using hand-held tools and equipment.","Excludes:
- Operation of automated assembly equipment
- Assembly of electrical and electronic products and components
- Fabrication of decorative objects 
- Fabrication of medical, orthotic and prosthetic devices

Examples:
- Assemble jewellery parts
- Attach pendulums
- Customise guns
- Repair musical instruments
- Centre lenses",S,S6,S6.5,S6.5.1
skills,handling and moving,assembling and fabricating products,fabricating medical and prosthetic devices,"Fabricating, maintaining or repairing medical, dental, orthotic or prosthetic devices.","Excludes:
- Operation of automated assembly equipment or machines
- Fabricating or repairing optical devices

Examples:
- Manufacture dental prostheses
- Create lifecasts
- Repair orthopaedic goods",S,S6,S6.5,S6.5.2
skills,handling and moving,assembling and fabricating products,fabricating tobacco products,Fabricating tobacco products by hand or using hand-held tools and equipment.,"Excludes:
- Operation of machinery
- Preparing and cooking food and drinks for immediate consumption

Examples:
- Cure tobacco leaves
- Flavour tobacco leaves",S,S6,S6.5,S6.5.8
skills,handling and moving,assembling and fabricating products,fabricating garments and textile products,"Fabricating, altering and repairing garments and textile products by hand or using hand-held tools and equipment.","Excludes:
- Operation of automated assembly equipment
- Fabrication of decorative objects

Examples:
- Alter wearing apparel
- Manufacture male suits
- Repair shoes
- Sew curtains",S,S6,S6.5,S6.5.6
skills,handling and moving,assembling and fabricating products,assembling electrical and electronic products,"Assembling electrical and electronic products, excluding medical or prosthetic devices, by hand or using hand-held tools and equipment.","Excludes:
- Operation of automated assembly equipment
- Installation, repair and maintenance of devices
- Fabrication of decorative objects 
- Fabrication of medical, orthotic and prosthetic devices

Examples:
- Assemble mechatronic devices
- Assemble electrical components",S,S6,S6.5,S6.5.3
skills,handling and moving,assembling and fabricating products,assembling furniture,Assembling and repairing furniture by hand or using hand-held tools and equipment.,"Excludes:
- Operation of automated assembly equipment
- Fabrication of decorative objects

Examples:
- Assemble prefabricated furniture
- Repair furniture frames",S,S6,S6.5,S6.5.5
skills,handling and moving,assembling and fabricating products,assembling and fabricating products,"Fabricating, assembling or repairing products or work aids by hand, or using hand-held tools and equipment.","Excludes:
- Operation of automated assembly equipment or machines
 -repair of building structures and mechanical, electrical, electronic products and components.

Examples:
- Assemble metal parts 
- Apply assembly techniques",S,S6,S6.5,S6.5.0
skills,handling and moving,assembling and fabricating products,assembling mechanical products,Assembling mechanical products by hand or using hand-held tools and equipment.,"Excludes:
- Operation of automated assembly equipment
- Installation, repair and maintenance of machinery
- Fabrication of decorative objects 
- Fabrication of medical, orthotic and prosthetic devices

Examples:
- Assemble bicycles
- Assemble machines",S,S6,S6.5,S6.5.4
skills,handling and moving,assembling and fabricating products,fabricating food and related products,"Fabricating food, drink and related products by hand or using hand-held tools and equipment.","Excludes:
- Operation of machinery
- Preparing and cooking food and drinks for immediate consumption

Examples:
- Prepare specialised meat products
- Extract juices
- Perform curd processing of cheese",S,S6,S6.5,S6.5.7
skills,handling and moving,using hand tools,,"Using the hands and tools that can be held in the hands, including power tools.","Excludes:
- Fabricating products by hand
- Operating a lawn-mower",S,S6,S6.7,
skills,handling and moving,using hand tools,shaping materials to create products,Altering the shape of various types of materials by hand or using hand tools.,"Examples:
- Shape clay
- Shape sheet metal objects
- Use wood chisel",S,S6,S6.7,S6.7.2
skills,handling and moving,using hand tools,smoothing surfaces of objects or equipment,"Creating smooth surfaces on various types of materials and employing techniques such as grinding, planing, sanding and polishing, using handheld tools.","Examples:
- Smooth burred surfaces
- Polish furniture",S,S6,S6.7,S6.7.3
skills,handling and moving,using hand tools,using precision hand tools,"Using hand-held electronic, mechanical, electric, or optical tools for precision work.","Examples:
- Use watchmaker's tools
- Use jewellery equipment",S,S6,S6.7,S6.7.4
skills,handling and moving,using hand tools,cutting materials and drilling holes,Cutting various types of materials using handheld tools and equipment.,"Excludes:
- Cutting or pruning trees or other live plants
- Surgical procedures on humans and animals

Examples:
- Cut carpet
- Drill holes in tile",S,S6,S6.7,S6.7.1
skills,handling and moving,using hand tools,using hand tools,"Using the hands and tools that can be held in the hands, including power tools.","Excludes:
- Fabricating products by hand
- Operating a lawn-mower",S,S6,S6.7,S6.7.0
skills,handling and moving,using hand tools,"hammering, nailing and riveting","Using manual or powered hand-held hammers, chisels, nail guns and riveting equipment.","Excludes:
- Operating hammer drill

Examples:
- Nail floorboards
- Operate nail gun
- Operate handheld riveting equipment",S,S6,S6.7,S6.7.5
skills,handling and moving,handling animals,,"Handling, moving, feeding and caring for live animals.",,S,S6,S6.9,
skills,handling and moving,handling animals,"hunting, trapping and slaughtering animals","Hunting, trapping or capturing animal wildlife or birds, or slaughter captive animals, for purposes such as gaining food or animal products, pest control or wildlife management.","Examples:
- Hunt animals
- Slaughter animals
- Remove predators",S,S6,S6.9,S6.9.4
skills,handling and moving,handling animals,feeding and grooming animals,Feeding and grooming domestic and captive animals of all types including aquatic.,"Examples:
- Feed livestock
- Groom animals 
- Implement fin fish feeding regimes
- Feed broodstock 
- Feed pets",S,S6,S6.9,S6.9.5
skills,handling and moving,handling animals,providing therapy or veterinary treatment for animals,Diagnosing and treating health conditions in animals and providing veterinary services such as artificial insemination and implanting microchips.,"Examples:
- Perform surgical procedures on animals
- Perform artificial insemination 
- Manage care of veterinary patients in accommodation
- Trim bovine hooves",S,S6,S6.9,S6.9.7
skills,handling and moving,handling animals,training animals,"Training animals to facilitate their routine husbandry, for professional purposes or as companion animals, for treatment, and/or public demonstrations.","Examples:
- Train horses
- Train gun dogs",S,S6,S6.9,S6.9.6
skills,handling and moving,handling animals,handling animals,"Handling, moving, feeding and caring for live animals.",,S,S6,S6.9,S6.9.0
