Level 0 preferred term,Level 1 preferred term,Level 2 preferred term,Level 3 preferred term,Description,Scope note,Level 0 code,Level 1 code,Level 2 code,Level 3 code
skills,"communication, collaboration and creativity",advising and consulting,advising on environmental issues,Providing information and advice on environmental protection and sustainability.,"Examples:
- advise on environmental remediation
- advise on pollution prevention",S,S1,S1.5,S1.5.5
skills,"communication, collaboration and creativity",advising and consulting,advising on workplace health and safety issues,Promoting and providing information and advice on health and safety in the workplace.,"Examples:
- advise on safety improvements
- inform on safety standards",S,S1,S1.5,S1.5.9
skills,"communication, collaboration and creativity",advising and consulting,advising and consulting,"Providing guidance and advice to enable decision-making about tasks, situations, and processes.","Excludes:
- Psychological, behavioural and social counselling; see S3.1.1",S,S1,S1.5,S1.5.0
skills,"communication, collaboration and creativity",advising and consulting,providing financial advice,Explaining financial information and providing financial advice.,"Examples:
- advise on investment
- explain financial technicalities to clients",S,S1,S1.5,S1.5.2
skills,"communication, collaboration and creativity",advising and consulting,advising on products and services,Advising others on products or services explaining technical details.,"Examples:
- advise customers on new equipment
- provide advice on travel destinations",S,S1,S1.5,S1.5.3
skills,"communication, collaboration and creativity",advising and consulting,advising on educational or vocational matters,"Providing information, advice and guidance on educational and training courses, teaching and learning methods, careers or job search.","Examples:
- advise on career
- advise lesson plans
- advise on training 
- provide assistance with job search

Includes:
- managing own career
",S,S1,S1.5,S1.5.8
skills,"communication, collaboration and creativity",advising and consulting,advising on business or operational matters,Providing information and advice to improve the efficiency of production and business operations.,"Examples:
- advise on efficiency improvements
- advise on personnel management
- advise on waste management procedures",S,S1,S1.5,S1.5.7
skills,"communication, collaboration and creativity",advising and consulting,providing medical advice,"Explaining medical and healthcare information to patients or family members and/or advising them on medical, health or wellness issues.","Examples:
- advise on rehabilitation exercises
- advise on medical device features
- offer advice on diet related concerns
- explain the molecular basis of a disease to patients

Excludes:
- provide advice on animal health
",S,S1,S1.5,S1.5.4
skills,"communication, collaboration and creativity",advising and consulting,advising on design or use of technologies,"Providing information and advice on technological possibilities, developments and on the uses of technology.","Examples:
- advise client on technical possibilities
- provide ICT consulting advice",S,S1,S1.5,S1.5.6
skills,"communication, collaboration and creativity",advising and consulting,"advising on legal, regulatory or procedural matters","Discussing legal matters with clients, disputants, or legal professionals or staff. Explaining and providing advice to others on legal matters, regulations, policies or procedures.","Examples:
- advise on social service process
- provide legal advice",S,S1,S1.5,S1.5.1
skills,"communication, collaboration and creativity",writing and composing,,"Writing text or composing music, creating original work with regard to format, style and content.","Excludes:
- general writing abilities/literacy
- writing computer programmes/coding",S,S1,S1.13,
skills,"communication, collaboration and creativity",writing and composing,artistic and creative writing,"Writing original text of a creative nature for artistic, journalistic, promotional or similar purposes.","Examples:
- write storylines
- create script for artistic production
- write headlines
- perform copywriting

Excludes:
- revise translations
- write computer programmes / coding

",S,S1,S1.13,S1.13.2
skills,"communication, collaboration and creativity",writing and composing,technical or academic writing,"Writing original text of a primarily functional, technical or academic nature; editing text.","Examples:
- write manuals
- draft legislation
- provide user documentation

Excludes:
- revise translations
- write computer programmes / coding


",S,S1,S1.13,S1.13.3
skills,"communication, collaboration and creativity",writing and composing,writing and composing,"Writing text or composing music, creating original work with regard to format, style and content.","Excludes:
- General writing abilities/literacy
- Writing computer programmes/coding",S,S1,S1.13,S1.13.0
skills,"communication, collaboration and creativity",writing and composing,composing music,Composing and arranging music.,"Examples:
- compose music
- orchestrate music
- develop original melodies
- improvise music

Excludes:
- compose lyrics
",S,S1,S1.13,S1.13.1
skills,"communication, collaboration and creativity",negotiating,,"Exchanging ideas while analysing issues and interests at stake, enabling opposing sides to resolve disputes and reach agreement, or making decisions to resolve disputes or impose justice.",,S,S1,S1.1,
skills,"communication, collaboration and creativity",negotiating,negotiating and managing contracts and agreements,"Negotiating and managing contracts and agreements with others concerning matters such as prices, terms of service, employment conditions, access to land and facilities.","Examples include: 
- conclude business agreements
- manage contracts
- negotiate price",S,S1,S1.1,S1.1.1
skills,"communication, collaboration and creativity",negotiating,negotiating,"Exchanging ideas while analysing issues and interests at stake, enabling opposing sides to resolve disputes and reach agreement, or making decisions to resolve disputes or impose justice.",,S,S1,S1.1,S1.1.0
skills,"communication, collaboration and creativity",negotiating,responding to complaints,Handling and responding to complaints from clients or staff.,"Examples:
- handle customer complaints
- manage employee complaints",S,S1,S1.1,S1.1.3
skills,"communication, collaboration and creativity",negotiating,mediating and resolving disputes,"Working with two or more separate people or groups involved in a disagreement or dispute to bring about an agreement, settlement or compromise.","Excludes:
- making decisions

Examples include: 
- moderate in negotiations  
- handle financial disputes",S,S1,S1.1,S1.1.2
skills,"communication, collaboration and creativity",presenting information,,Presenting oral or visual material to an audience in order to provide or interpret information.,,S,S1,S1.4,
skills,"communication, collaboration and creativity",presenting information,presenting research or technical information,"Presenting information of a technical or academic nature to an audience, including presenting the results of research.","Examples:
- present legislation proposal
- present detailed design proposal
- perform lectures
- deliver visual presentation of data",S,S1,S1.4,S1.4.2
skills,"communication, collaboration and creativity",presenting information,presenting information in legal proceedings,"Testifying, presenting evidence or representing clients during legal proceedings.","Examples:
- Present evidence
- Represent clients in court",S,S1,S1.4,S1.4.3
skills,"communication, collaboration and creativity",presenting information,presenting general information,Presenting information of a non-technical nature to an audience.,"Examples:
- give live presentation
- deliver presentations on tourism 
- present reports

Excludes:
- present information in legal proceedings
- present research or technical information
",S,S1,S1.4,S1.4.1
skills,"communication, collaboration and creativity",presenting information,presenting information,Presenting oral or visual material to an audience in order to provide or interpret information.,,S,S1,S1.4,S1.4.0
skills,"communication, collaboration and creativity",working with others,,"Team work, working in a team, Working with other people, understanding and respecting the roles and competencies of others.","Excludes:
- Management, supervision and coordination of teams",S,S1,S1.8,
skills,"communication, collaboration and creativity",working with others,assisting and supporting co-workers,"Assisting and supporting colleagues, managers, volunteers and other co-workers in the performance of their tasks or in the operations of a business unit.","Examples:
- support managers
- support colleagues
- assist forestry service crew
- assist emergency services",S,S1,S1.8,S1.8.6
skills,"communication, collaboration and creativity",working with others,giving feedback,"Providing founded feedback on the performance of subordinates, co-workers and students through both criticism and praise in a respectful, clear, and consistent manner. Highlighting achievements as well as mistakes and set up methods of formative assessment.","Examples:
- provide feedback on job performance
- give constructive feedback",S,S1,S1.8,S1.8.3
skills,"communication, collaboration and creativity",working with others,following instructions and procedures,Following instructions given verbally or in writing and following standard or agreed procedures.,"Examples:
- follow a brief
- follow signalling instructions
- read job ticket instructions",S,S1,S1.8,S1.8.5
skills,"communication, collaboration and creativity",working with others,accepting feedback,React to valid and well-reasoned opinions and directions about one's work in a positive manner.,"Examples:
- accept constructive criticism",S,S1,S1.8,S1.8.4
skills,"communication, collaboration and creativity",working with others,working with others,"Working with other people, understanding and respecting the roles and competencies of others.","Excludes:
- Management, supervision and coordination of teams",S,S1,S1.8,S1.8.0
skills,"communication, collaboration and creativity",working with others,giving instructions,"Giving instructions and directions to co-workers, subordinates or students or members of the public by employing various communication techniques. Adjusting communication style to the target audience in order to convey instructions as intended.","Examples:
- give instructions to staff
- direct airport subcontractors

Excludes:
- direct and coordinate operational activities
",S,S1,S1.8,S1.8.2
skills,"communication, collaboration and creativity",working with others,working in teams,"working in teams, Working confidently within a group with each doing their part in the service of the whole. Understanding and respecting the roles and competencies of other team members.","Examples:
- work in multidisciplinary teams 
- work in assembly line teams
- collaborate with designers
- cooperate with colleagues
- work in a forestry team
- work in shifts

Excludes:
- management, supervision and coordination of teams
",S,S1,S1.8,S1.8.1
skills,"communication, collaboration and creativity",teaching and training,,"Facilitating the acquisition of new knowledge and skills. Leading and guiding individuals and groups through a process in which they are taught the necessary skills and knowledge for life, future learning or for a particular job or set of jobs.","Excludes:
- Training animals",S,S1,S1.3,
skills,"communication, collaboration and creativity",teaching and training,teaching academic or vocational subjects,Instruct students in the theory and practice of academic or vocational subjects.,"Examples:
- give theory lessons to pilots
- teach biology
- teach basic numeracy skills
- teach industrial arts principles",S,S1,S1.3,S1.3.1
skills,"communication, collaboration and creativity",teaching and training,teaching safety procedures,Teaching safety procedures or standards to other people.,"Examples:
- educate employees on occupational hazards
- provide on-board safety training
- train staff in safety procedures
- educate public on fire safety",S,S1,S1.3,S1.3.2
skills,"communication, collaboration and creativity",teaching and training,training on operational procedures,"Training employees, students or clients on operational procedures in the work place or and demonstrating the use of equipment or products.","Examples:
- teach air cabin crew procedures
- train operators in using mine machinery
- demonstrate functionality of software products

Excludes:
- teaching vocational subjects as part of formal learning
- teaching safety procedures and standards
- coaching
",S,S1,S1.3,S1.3.3
skills,"communication, collaboration and creativity",teaching and training,teaching and training,"Facilitating the acquisition of new knowledge and skills. Leading and guiding individuals and groups through a process in which they are taught the necessary skills and knowledge for life, future learning or for a particular job or set of jobs.","Examples:
- provide teacher support

Excludes:
- training animals",S,S1,S1.3,S1.3.0
skills,"communication, collaboration and creativity",teaching and training,coaching and mentoring,"Actively helping individuals or groups to improve their strengths, life skills, performance, learning skills and confidence and to optimise specific methods, skills or abilities.","Examples:
- Coach during a sports competition
- Assist clients with personal development
- Mentor individual employees",S,S1,S1.3,S1.3.5
skills,"communication, collaboration and creativity",teaching and training,training on health or medical topics,"Training patients, health providers, or carers on health or hygiene practices, medical procedures or physcial fitness.","Examples:
- teach first aid principles
- train medical staff on nutrition
- educate patient's relations on care

Excludes:
- teaching medicine or nursing as part of a formal education programme
",S,S1,S1.3,S1.3.4
skills,"communication, collaboration and creativity",obtaining information verbally,,Asking questions and listening to others to obtain information.,,S,S1,S1.7,
skills,"communication, collaboration and creativity",obtaining information verbally,interviewing,"Interacting verbally in a formal way, usually using structured questioning, to collect information, determine opinions, or determine suitability of individuals for jobs, roles or tasks.","Examples:
- adhere to questionnaires
- interview insurance claimants
- interrogate individuals",S,S1,S1.7,S1.7.1
skills,"communication, collaboration and creativity",obtaining information verbally,obtaining information verbally,Asking questions and listening to others to obtain information.,,S,S1,S1.7,S1.7.0
skills,"communication, collaboration and creativity",obtaining information verbally,engaging with others to identify needs,"Engaging in discussions in order to identify expectations, requirements, desires, needs and problems of clients, co-workers, students and others.","Examples:
- identify customer objectives
- interact with users to gather requirements",S,S1,S1.7,S1.7.2
skills,"communication, collaboration and creativity",obtaining information verbally,listening and asking questions,"Listen carefully to what other people say, patiently understanding points being made, formulating and asking appropriate questions, without interrupting at inappropriate times.","Examples:
- use questioning techniques
- listen actively",S,S1,S1.7,S1.7.3
skills,"communication, collaboration and creativity","communication, collaboration and creativity",,"Communicating, collaborating, liaising, and negotiating with other people, developing solutions to problems, creating plans or specifications for the design of objects and systems, composing text or music, performing to entertain an audience, and imparting knowledge to others.","Excludes:
- Communication or interaction with animals",S,S1,S1.0,
skills,"communication, collaboration and creativity","communication, collaboration and creativity","communication, collaboration and creativity","Communicating, collaborating, liaising, and negotiating with other people, developing solutions to problems, creating plans or specifications for the design of objects and systems, composing text or music, performing to entertain an audience, and imparting knowledge to others.","Excludes:
- Communication or interaction with animals",S,S1,S1.0,S1.0.0
skills,"communication, collaboration and creativity",using more than one language,,"Using more than one language or dialect to communicate verbally or in written form, or to translate from one language to another.","Excludes:
- skills and knowledge related to a specific language or dialect.",S,S1,S1.15,
skills,"communication, collaboration and creativity",using more than one language,using foreign languages,"Communicating with others in one or more foreign languages or dialects, in spoken or written forms.","Examples:
- employ foreign languages in care
- communicate commercial and technical issues in foreign languages
- speak dialect

Excludes:
- skills and knowledge related to a specific language or dialect.

",S,S1,S1.15,S1.15.1
skills,"communication, collaboration and creativity",using more than one language,using more than one language,"Using more than one language or dialect to communicate verbally or in written form, or to translate from one language to another.","Excludes:
- Skills and knowledge related to a specific language or dialect.",S,S1,S1.15,S1.15.0
skills,"communication, collaboration and creativity",using more than one language,translating and interpreting,"Translate one language into another language in written or spoken form. Match words and expressions with their corresponding brothers in other languages, while making sure that the message and nuances of the original text are preserved.","Examples:
- translate spoken language
- translate texts
- interpret languages in conferences

Excludes:
- skills and knowledge related to a specific language or dialect.
",S,S1,S1.15,S1.15.2
skills,"communication, collaboration and creativity",performing and entertaining,,Undertaking activities to entertain an audience or improve personal abilities.,,S,S1,S1.14,
skills,"communication, collaboration and creativity",performing and entertaining,performing artistic or cultural activities,"Performing, practising or rehearsing music, dance, drama, ceremonies or other types of performance (excluding athletic performance) for a live audience, or as part of a recording session.","Examples:
- perform dance or music
- tell stories
- perform music in a recording studio 
- perform religious ceremonies
- rehearse performances

Excludes:
- participate in sports performances
- perform stunts

",S,S1,S1.14,S1.14.2
skills,"communication, collaboration and creativity",performing and entertaining,performing and entertaining,Undertaking activities to entertain an audience or improve personal abilities.,,S,S1,S1.14,S1.14.0
skills,"communication, collaboration and creativity",performing and entertaining,conducting gaming activities,Carrying out gaming operations in gambling establishments and participating in gambling games.,"Examples:
- conduct gambling games",S,S1,S1.14,S1.14.3
skills,"communication, collaboration and creativity",performing and entertaining,practising sports,"Performing and practising athletic activities for fitness, competition, or artistic purposes.","Examples:
- participate in athletic events
- perform stunts
- participate in physical training",S,S1,S1.14,S1.14.1
skills,"communication, collaboration and creativity",liaising and networking,,"Developing alliances, contacts or partnerships, and exchanging information with others.",,S,S1,S1.2,
skills,"communication, collaboration and creativity",liaising and networking,advocating for individual or community needs,"Delivering arguments in favour of something, such as a cause, idea, or policy, to benefit another person or a community.","Excludes:
- Promoting goods and services
- Representing clients in legal proceeding

Examples:
- Advocate for healthcare users' needs
- Promote service users' rights
- Influence legislators",S,S1,S1.2,S1.2.4
skills,"communication, collaboration and creativity",liaising and networking,liaising and networking,"Developing alliances, contacts or partnerships, and exchanging information with others.",,S,S1,S1.2,S1.2.0
skills,"communication, collaboration and creativity",liaising and networking,developing professional relationships or networks,"Developing alliances, contacts or partnerships with colleagues, clients and stakeholders.","Examples: 
- develop communication networks with shipping sites
- develop professional network
- maintain relationship with suppliers",S,S1,S1.2,S1.2.3
skills,"communication, collaboration and creativity",liaising and networking,communicating with colleagues and clients,"Communicating with colleagues, clients and other outside groups to disseminate information on operational matters, problems and activities. ","Examples:
- Brainstorm ideas
- Contact customers

Excludes:
- Cooperate with professionals
- Liaise with politicians",S,S1,S1.2,S1.2.1
skills,"communication, collaboration and creativity",liaising and networking,collaborating and liaising,"Reaching out to outside agencies, clients and other organisational units to facilitate exchange of information. Collaborating and engaging with external and internal agencies and departments to adapt the timing and nature of the activities.","Examples: 
- contact event speakers
- liaise with auditors",S,S1,S1.2,S1.2.5
skills,"communication, collaboration and creativity","promoting, selling and purchasing",,"Using communication strategies or techniques to encourage acceptance of goods, services, or ideas, and to sell or buy and goods or services.","Excludes:
- Trading and other skills involving buying and selling",S,S1,S1.6,
skills,"communication, collaboration and creativity","promoting, selling and purchasing",purchasing goods or services,"Buying and ordering goods, services and supplies.","Excludes:
- Performing financial transactions

Examples:
- Buy advertising space
- Order construction supplies
- Procure electrical machinery
- Purchase fruits and vegetables",S,S1,S1.6,S1.6.3
skills,"communication, collaboration and creativity","promoting, selling and purchasing",selling products or services,"Taking orders for and selling goods or services to individuals, households or enterprises.","Examples:
- sell office equipment
- take room service orders
- deliver a sales pitch
- sell products

Excludes:
- perform financial transactions
",S,S1,S1.6,S1.6.1
skills,"communication, collaboration and creativity","promoting, selling and purchasing","promoting products, services, or programs","Promoting, advertising and marketing goods, services, programs or policies.","Examples:
- perform public relations
- advertise new book releases
- conduct mobile marketing
- offer free samples
- promote education programmes",S,S1,S1.6,S1.6.2
skills,"communication, collaboration and creativity","promoting, selling and purchasing","promoting, selling and purchasing","Using communication strategies or techniques to encourage acceptance of goods, services, or ideas, and to sell or buy and goods or services.","Excludes:
- Trading and other skills involving buying and selling",S,S1,S1.6,S1.6.0
skills,"communication, collaboration and creativity",solving problems,,"Problem solving, Developing and implementing solutions to practical, operational or Problem solving, conceptual problems which arise in the execution of work in a wide range of contexts.","Excludes:
- Repairing and resolving technical problems with machinery and equipment
- Using ICT tools for problem solving",S,S1,S1.9,
skills,"communication, collaboration and creativity",solving problems,solving problems,"Developing and implementing solutions to practical, operational or conceptual problems which arise in the execution of work in a wide range of contexts.","Excludes:
- Repairing and resolving technical problems with machinery and equipment
- Using ICT tools for problem solving",S,S1,S1.9,S1.9.0
skills,"communication, collaboration and creativity",solving problems,implementing new procedures or processes,"Implementing new business procedures or processes to resolve practical, operational or conceptual problems which arise in the execution of work in a wide range of contexts.","Examples:
- implement transport strategy
- apply crisis intervention

Excludes:
- repair and resolve technical problems with machinery and equipment
- use ICT tools for problem solving
",S,S1,S1.9,S1.9.2
skills,"communication, collaboration and creativity",solving problems,developing solutions,"Problem solving, Developing solutions to practical, operational or conceptual problems which arise in the execution of work in a wide range of contexts.","Examples:
- troubleshoot
- identify improvement actions
- create solutions to problems

Excludes:
- repair and resolve technical problems with machinery and equipment
- use ICT tools for problem solving
",S,S1,S1.9,S1.9.1
skills,"communication, collaboration and creativity","creating artistic, visual or instructive materials",,"Creating and developing visual representations and displays, instructional or promotional materials, or artistic designs or performances.",,S,S1,S1.12,
skills,"communication, collaboration and creativity","creating artistic, visual or instructive materials","creating artistic, visual or instructive materials","Creating and developing visual representations and displays, instructional or promotional materials, or artistic designs or performances.",,S,S1,S1.12,S1.12.0
skills,"communication, collaboration and creativity","creating artistic, visual or instructive materials",creating visual displays and decorations,"Creating, designing and arranging graphics, visual representations, displays, exhibits or decorations.","Examples:
- create flower arrangements
- set up merchandise displays
- decorate indoor or outdoor spaces
- display merchandise
- design customised maps

Excludes:
- create artistic designs
",S,S1,S1.12,S1.12.1
skills,"communication, collaboration and creativity","creating artistic, visual or instructive materials",creating artistic designs or performances,"Creating original works of art such as pictures and sculptures, or creating artistic performances such as dance and drama for live or recorded performance.","Examples:
- devise choreography
- create sculptures
- design a music show",S,S1,S1.12,S1.12.3
skills,"communication, collaboration and creativity","creating artistic, visual or instructive materials",developing instructive or promotional materials,"Creating and developing materials for instructional, educational, advertising or promotional purposes","Examples:
- design materials for multimedia campaigns
- prepare lesson content
- prepare presentation material",S,S1,S1.12,S1.12.2
knowledge,,,,,,K,,,
knowledge,generic programmes and qualifications,,,"Generic programmes and qualifications are those providing fundamental and personal skills education which cover a broad range of subjects and do not emphasise or specialise in a particular broad or narrow field.
This broad field should not be used as a residual category. Programmes and qualifications with a specific subject emphasis should be classified in broad fields 01 to 10. In particular, education at the tertiary level should only by way of exception be classified here.",,K,,,
knowledge,generic programmes and qualifications,generic programmes and qualifications not further defined,,,,K,,,
knowledge,generic programmes and qualifications,generic programmes and qualifications not further defined,generic programmes and qualifications not further defined,,,K,,,
knowledge,generic programmes and qualifications,basic programmes and qualifications,,,,K,,,
knowledge,generic programmes and qualifications,basic programmes and qualifications,basic programmes and qualifications,"Basic programmes and qualifications are designed to provide participants with fundamental skills in reading, writing and arithmetic along with an elementary understanding of other subjects such as history, geography, natural science, social science, art and music, and in some cases religious instruction. These programmes and qualifications are normally offered at primary and lower secondary levels. Broad, non-specialised programmes at upper secondary level are also classified here even if there is some concentration on, for example, humanities, social science, natural science etc. Vocational programmes and qualifications are included here only by way of exception.
Programmes and qualifications with the following main subject content are classified here:
Basic programmes and qualifications
Broad, generic (non-specialised) programmes and qualifications
General programmes and qualifications with no specific subject emphasis
Programmes and qualifications at primary level

=== Inclusions
Basic programmes and qualifications at upper secondary level (in some countries at lower secondary level) with some emphasis on e.g. humanities, social sciences or natural sciences but still covering other fields of knowledge are included in this detailed field. In some countries such programmes or qualifications are offered on a modular basis and should also be classified here.

=== Exclusions
Programmes that are considered as general in the programme orientation sense (non-vocational) but have a clear emphasis on a detailed, narrow or broad field are excluded from this detailed field and included in one of the broad fields 01-10, depending on the subject covered.",,K,,,
knowledge,generic programmes and qualifications,literacy and numeracy,,,,K,,,
knowledge,generic programmes and qualifications,literacy and numeracy,literacy and numeracy,"Literacy and numeracy are programmes or qualifications arranged mainly for adults, designed to teach fundamental skills in reading, writing and arithmetic. The typical age range of participants can be used to distinguish between detailed field 0011 'Basic programmes and qualifications' and this detailed field.
Programmes and qualifications with the following main content are classified here:
Basic remedial programmes for youth or adults
Literacy
Numeracy",,K,,,
knowledge,generic programmes and qualifications,personal skills and development,,,,K,,,
knowledge,generic programmes and qualifications,personal skills and development,personal skills and development,"Personal skills are defined by reference to the effects on the individual's capacity (mental, social etc.). This detailed field covers personal skills programmes not included in 0011 'Basic programmes and qualifications' or 0021 'Literacy and numeracy', giving key competencies and transferable skills.
Programmes and qualifications with the following main content are classified here:
Argumentation and presentation
Assertiveness training
Communication skills
Co-operation
Development of behavioural capacities
Development of mental skills
Job-seeking programmes
Parenting courses
Public speaking
Self-esteem skills
Social competence
Time management

=== Inclusions
Education and training in leadership in the context of personal development is included here.
Education and training related to the work place or to work assignments is included in this detailed field if it has more to do with personal development than work development. Personal skills courses can be taught at the workplace, but still be classified here based on their content.
Programmes for people with special needs on how to cope with their daily life are included here

=== Exclusions
Study of leadership in the context of management is excluded from this group and included in detailed field 0413 'Management and administration'.",,K,,,
knowledge,generic programmes and qualifications,generic programmes and qualifications not elsewhere classified,,,,K,,,
knowledge,generic programmes and qualifications,generic programmes and qualifications not elsewhere classified,generic programmes and qualifications not elsewhere classified,,,K,,,
knowledge,education,,,,,K,,,
knowledge,education,education,,,,K,,,
knowledge,education,education,education not further defined,,,K,,,
knowledge,education,education,education science,"Education science is the study of the learning process and the theories, methods and techniques of imparting knowledge to others.
Programmes and qualifications with the following main content are classified here:
Curriculum studies
Didactics
Educational assessment, testing and measurement
Educational evaluation and research
Paedagogical sciences

=== Exclusions
Teacher training programmes which combine education science with the practice of teaching are excluded from this detailed field and included in one of the detailed fields for teacher training (0112-0114).",,K,,,
knowledge,education,education,training for pre-school teachers,"Training for pre-school teachers is the study of the theories, methods and practice of teaching very young children up to 7 years of age within formal school settings at pre-primary or early childhood educational development levels.
Programmes and qualifications with the following main content are classified here:
Early childhood teaching (within formal school settings)
Pre-primary teacher training

=== Exclusions
Training in caring for children outside formal school settings is excluded from this detailed field and included in detailed field 0922 'Child care and youth services'.",,K,,,
knowledge,education,education,teacher training without subject specialisation,"Training for teachers without subject specialisation is the study of the theories, methods and practice of providing children between approximately 5 and 15 years of age with the fundamental skills in reading, writing and mathematics along with an elementary understanding of other subjects such as history, geography, social science etc. and laying the foundation for lifelong learning. Subject specialisation is stressed less than in detailed field 0114 'Teacher training with subject specialisation'. The study of teaching children with special needs is included in this detailed field, likewise the study of teaching adults fundamental reading and writing skills and teaching immigrants these types of skills in their home or first language.
Programmes and qualifications with the following main content are classified here:
Class teacher training
Indigenous teacher training
Primary teaching
Teacher training for children with special needs

=== Inclusions
The study of teaching adults basic literacy and numeracy skills is included here. Teacher's aide (teaching assistant) is also included here.

=== Exclusions
Teacher training with subject specialisation even if intended for the teaching of children in primary or lower secondary education is excluded from this detailed field and included in detailed field 0114 'Teacher training with subject specialisation'.",,K,,,
knowledge,education,education,teacher training with subject specialisation,"Teacher training with subject specialisation is the study of the theories, methods and practice of teaching a specific subject, mostly at secondary or higher levels of education. Programmes and qualifications included in this detailed field often comprise both studies as well as the subject/subjects that are going to be taught.
Programmes and qualifications with the following main content are classified here:
Teacher training - arts and crafts
Teacher training - commercial subjects
Teacher training - music
Teacher training - nursing
Teacher training - physical training
Teacher training - second languages
Teacher training - specific theoretical subjects, e.g. English, mathematics, history
Teacher training - technical subjects
Teacher training - vocational subjects
Training of driving instructors
Training of trainers

=== Inclusions
Teacher training courses for university teachers, instructors of work place and working life skills and in practical and artistic subjects are included here.

=== Exclusions
Training of sports trainers is excluded from this detailed field and included in detailed field 1014 'Sports'.",,K,,,
knowledge,education,education,education not elsewhere classified,,,K,,,
knowledge,education,inter-disciplinary programmes and qualifications involving education,,,,K,,,
knowledge,education,inter-disciplinary programmes and qualifications involving education,inter-disciplinary programmes and qualifications involving education,Inter-disciplinary programmes and qualifications to which the greatest intended learning time is devoted to education are classified here.,,K,,,
knowledge,arts and humanities,,,,,K,,,
knowledge,arts and humanities,arts and humanities not further defined,,,,K,,,
knowledge,arts and humanities,arts and humanities not further defined,arts and humanities not further defined,,,K,,,
knowledge,arts and humanities,arts,,,,K,,,
knowledge,arts and humanities,arts,arts not further defined,,,K,,,
knowledge,arts and humanities,arts,audio-visual techniques and media production,"Audio-visual techniques and media production is the study of techniques and skills to produce books or newspapers, radio or TV production, film or video production, recorded music production and graphic reproduction. It includes programmes and qualifications in methods of colour reproduction, photography and computer graphics. Study of combining pictures, words and decorations in the production of books, magazines, posters, adverts etc. is also included.
Programmes and qualifications with the following main content are classified here:
Animation
Bookbinding
Camera operating
Compositing (printing)
Computer game production
Computer type-setting
Film and video production
Graphic design
Graphic reproduction
Illustration
Interactive media design
Media techniques
Multimedia production
Photography
Pre-press operations
Print finishing and binding
Printing
Publishing design, lay-out
Radio and TV production
Recorded music production
Sound techniques
Type-setting

=== Inclusions
Desktop publishing and lay-out are included here.

=== Exclusions
Programmes and qualifications in the use of specific software applications for desktop publishing and website development are excluded from this detailed field and included in detailed field 0611 'Computer use'.
Study of journalism (wording and content of messages) is excluded from this detailed field and included in detailed field 0321 'Journalism and reporting'.",,K,,,
knowledge,arts and humanities,arts,"fashion, interior and industrial design","Fashion, interior and industrial design is the study of creatively combining line, form and fabric in designing and constructing e.g. fashion garments, industrial products and interiors.
Programmes and qualifications with the following main content are classified here:
Costume design
Design of industrial products
Fashion design
Interior architecture
Interior design
Stage designing
Window dressing

=== Exclusions
Study of Building design is excluded from this detailed field and included in detailed field 0731 'Architecture and town planning'.
Study of Industrial design is excluded from this detailed field if emphasis is given to technical subjects and not to artistic design, and included in the appropriate detailed field under 071 'Engineering and engineering trades'.
Publishing design and graphic design are excluded from this detailed field and included in detailed field 0211 'Audio-visual techniques and media production'.",,K,,,
knowledge,arts and humanities,arts,fine arts,"Fine arts is the study of visual forms of creative expression, dealing with theory, history, techniques, performance and production in fine arts.
Programmes and qualifications with the following main content are classified here:
Art theory
Calligraphy
Etching
Fine art printmaking
History of art
Painting
Philosophy of art
Sculpture

=== Exclusions
Training in ceramics, pottery etc is excluded from this detailed field and included in detailed field 0214 'Handicrafts'.
Study of architecture is excluded from this detailed field and included in detailed field 0731 'Architecture and town planning'.
Teacher training in arts is excluded from this detailed field and included in detailed field 0114 'Teacher training with subject specialisation'.",,K,,,
knowledge,arts and humanities,arts,handicrafts,"Handicrafts is the study of techniques and skills in a chosen craft, such as jewellery, pottery, weaving, woodcarving etc.
Programmes and qualifications with the following main content are classified here:
Ceramics
Crafts, folk arts and artisan
Decorative metal crafts
Indigenous crafts
Embroidery
Floristry (flower arranging)
Glass arts and craft
Goldsmithing
Jewellery
Making of musical instruments (not industrial)
Musical instruments (repairing and tuning)
Silversmithing
Stone carving (craft)
Weaving (craft)
Woodcarving

=== Exclusions
Study of industrial (large scaled mechanised) production of pottery, woven materials, embroidery etc. is excluded from this field and included in one of the detailed fields under broad field 07 'Engineering, manufacturing and construction'.",,K,,,
knowledge,arts and humanities,arts,music and performing arts,"Music and performing arts is the study of the principles and techniques associated with performance involving music, speech, movement, mime, characterisation, improvisation and stage craft.
Programmes and qualifications with the following main content are classified here:
Acting and directing
Ballet
Choreography
Circus
Composition (music)
Conducting (music)
Creative and performance art
Dance
Drama
History of film and theatre
History of music
Music
Music conducting
Musicology
Theatre/Theatre sciences

=== Inclusions
Study of music and performing arts history and theory is included here.

=== Exclusions
Teacher training in music and other performing arts is excluded from this detailed field and included in detailed field 0114 'Teacher training with subject specialisation'.
022 Humanities (except languages)",,K,,,
knowledge,arts and humanities,arts,arts not elsewhere classified,,,K,,,
knowledge,arts and humanities,humanities (except languages),,,,K,,,
knowledge,arts and humanities,humanities (except languages),humanities (except languages) not further defined,,,K,,,
